"","GlossID","Gloss","Translation","Glossing","Lang.","Ling. Type","Gloss Type","Parallels","Chapter","MS"
"BCr.27a40","BCr.27a40"">",".i. sidera uel spatia","'i.e. stars or spaces'","gl. ea libere quae tellure","la","monolingual","marginal","BCrBVi","VII","BCr"
"BVi.01a06","BVi.01a06"">","sideera uel spatia","'stars or spaces'","gl. ea libere quae tellure","la","monolingual","interlinear","BCrBVi","VII","BVi"
"BVi.01a07","BVi.01a07"">","eo quorum qui","'the fact of which'","gl. ideoque","la","monolingual","interlinear","BVi","VII","BVi"
"Ang.50a02c","Ang.50a02c"">","fit lumen ineis in hoc tempore.","'light is caused in them at this time'","gl. circumposita","la","monolingual","interlinear","AngBVi","VII","Ang"
"BVi.01a19a","BVi.01a19a"">","uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida","'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright'","gl. ???","la","monolingual","marginal","BVi","VII","BVi"
"BCr.27a53","BCr.27a53"">","apparent","'they appear'","gl. parent","la","monolingual","interlinear","BCrBVi","VII","BCr"
"BCr.27b03","BCr.27b03"">",".id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,","'i.e. in Greek absida is translated as bright ???'","gl. circuli absidas","la","monolingual","marginal","AngBCrBViSg","VII","BCr"
"Sg.55.32","Sg.55.32"">","id est. absida graece interpretatur lucida.","'i.e. in Greek absida is translated as bright'","gl. circuli absidas","la","monolingual","marginal","AngBCrBViSg","VII","Sg"
"Ang.50a09c","Ang.50a09c"">","aiunt","'they say'","gl. uerum","la","monolingual","interlinear","AngBVi","VII","Ang"
"BVi.01a20","BVi.01a20"">","aiunt","'they say'","gl. uerum","la","monolingual","interlinear","AngBVi","VII","BVi"
"Ang.50a09e","Ang.50a09e"">","lunae","'moon'","gl. ei","la","monolingual","interlinear","AngBVi","VII","Ang"
"BVi.01a21","BVi.01a21"">","lune","'moon'","gl. ei","la","monolingual","interlinear","AngBVi","VII","BVi"
"Ang.50a11b","Ang.50a11b"">","utfit lucerna contra corpus hominis","'as is the case when a lamp (is positioned) against the body of a man'","gl. lux corpore","la","monolingual","interlinear","AngBCrBViSg","VII","Ang"
"BCr.27b06","BCr.27b06"">",".. ut fit candela contra corpus hominis","'as is the case when a candle is done against the body of a man'","gl. lux corpore","la","monolingual","marginal","AngBCrBViSg","VII","BCr"
"BVi.01a28","BVi.01a28"">","ut lucerna fit","'as is the case when a lamp'","gl. lux corpore","la","monolingual","interlinear","AngBCrBViSg","VII","BVi"
"Sg.55.38","Sg.55.38"">","i. utfit candela contra corpus hominis","'as is the case when a candle is done against the body of a man'","gl. lux corpore","la","monolingual","interlinear","AngBCrBViSg","VII","Sg"
"Ang.50a14c","Ang.50a14c"">","paulatim","'little by little'","gl. sensim","la","monolingual","interlinear","AngBVi","VII","Ang"
"BVi.01a30","BVi.01a30"">","paulatim","'little by little'","gl. sensim","la","monolingual","interlinear","AngBVi","VII","BVi"
"Ang.50a20","Ang.50a20"">","cupida auara","'covetous greedy'","gl. auida","la","monolingual","interlinear","AngBCrBVi","VII","Ang"
"BCr.27b23a","BCr.27b23a"">",".i. auara","'greedy'","gl. auida","la","monolingual","interlinear","AngBCrBVi","VII","BCr"
"BVi.01a38","BVi.01a38"">","auara cupida","'greedy covetous'","gl. auida","la","monolingual","interlinear","AngBCrBVi","VII","BVi"
"BCr.27b28","BCr.27b28"">",".i. quaerere","'i.e. to seek'","gl. quaeritandi","la","monolingual","interlinear","BCrBVi","VII","BCr"
"BVi.01a45","BVi.01a45"">","cetera","'the rest'","gl. etc.","la","monolingual","interlinear","BVi","VII","BVi"
"Ang.50a25b","Ang.50a25b"">","apud scithas","'among the Scythians'","gl. longinquitatem","la","monolingual","interlinear","AngBCrBVi","VII","Ang"
"BCr.27b34","BCr.27b34"">","apud scithios","'among the Scythians'","gl. longinquitatem","la","monolingual","interlinear","AngBCrBVi","VII","BCr"
